"Wave","Edge_ID","Point_edge","Retained_under_EBICglasso","Percentile_2_5","Percentile_97_5"
2012,"VCF0806--VCF0809",0.303846021908369,TRUE,0.266037763547253,0.344381952874531
2012,"VCF0806--VCF0838",0.163141088733884,TRUE,0.128588098544947,0.198927441403121
2012,"VCF0806--VCF0839",0.234328527509928,TRUE,0.194800171287399,0.268517393879292
2012,"VCF0806--VCF0879a",0.0493033840706338,TRUE,0.009799610582802,0.0825715474870393
2012,"VCF0806--VCF0888",-0.023095672005309,TRUE,-0.0677736979787784,0
2012,"VCF0806--VCF0890",0.0586270926415524,TRUE,0.0168709652052555,0.102071500666574
2012,"VCF0806--VCF0894",0.14949343454668,TRUE,0.108414449587879,0.190322231099475
2012,"VCF0806--VCF9223",0.0150369312245018,TRUE,0,0.0552401563497773
2012,"VCF0809--VCF0838",0,FALSE,-0.0395708393617367,0.0133151325040027
2012,"VCF0809--VCF0839",0.189210653527643,TRUE,0.149338137205216,0.229584879572945
2012,"VCF0809--VCF0879a",-0.0194987239175984,TRUE,-0.0584289537447036,0
2012,"VCF0809--VCF0888",0.0462895145169454,TRUE,0.0102961077690319,0.0869996237865453
2012,"VCF0809--VCF0890",0.0920263712391898,TRUE,0.0479208349346395,0.13348347942824
2012,"VCF0809--VCF0894",0.151618352474529,TRUE,0.112134967304686,0.190075521340507
2012,"VCF0809--VCF9223",-0.0228829782209999,TRUE,-0.0590890722543827,0
2012,"VCF0838--VCF0839",0,FALSE,-0.016384758201715,0.0371070164088318
2012,"VCF0838--VCF0879a",0,FALSE,-0.0287680942546918,0.0327055121258052
2012,"VCF0838--VCF0888",-0.111103873701375,TRUE,-0.151284615349339,-0.0718760645130716
2012,"VCF0838--VCF0890",0.173712290542379,TRUE,0.130634263831306,0.219694903510722
2012,"VCF0838--VCF0894",-0.0427267061442297,TRUE,-0.0909807633366368,0
2012,"VCF0838--VCF9223",0.11975354377938,TRUE,0.0826718493185829,0.154024231314945
2012,"VCF0839--VCF0879a",0.0243666958303837,TRUE,0,0.0686999095163932
2012,"VCF0839--VCF0888",0.0279994439971449,TRUE,0,0.0727799706493447
2012,"VCF0839--VCF0890",0.263346205380432,TRUE,0.222374788541574,0.297957465853288
2012,"VCF0839--VCF0894",0.304754460215999,TRUE,0.263730293292668,0.345165269912838
2012,"VCF0839--VCF9223",0.0271344846048082,TRUE,0,0.0644643923879286
2012,"VCF0879a--VCF0888",-0.122256344533936,TRUE,-0.160515527207613,-0.0770840405595757
2012,"VCF0879a--VCF0890",-0.0328432083530345,TRUE,-0.0890011284175306,0
2012,"VCF0879a--VCF0894",0.14055343388669,TRUE,0.101665412926385,0.187479067175339
2012,"VCF0879a--VCF9223",0.469833727138572,TRUE,0.438927731455172,0.504884359993228
2012,"VCF0888--VCF0890",0.305355221016655,TRUE,0.26548552211999,0.346873912809597
2012,"VCF0888--VCF0894",0,FALSE,-0.0541421121316252,0.0202788730254792
2012,"VCF0888--VCF9223",-0.0713228146329072,TRUE,-0.115487106271202,-0.0321147192345789
2012,"VCF0890--VCF0894",0.156670022803228,TRUE,0.114930494273329,0.20862935932269
2012,"VCF0890--VCF9223",0.0384970135041746,TRUE,0,0.088187994916835
2012,"VCF0894--VCF9223",-0.00920298803560992,TRUE,-0.064628051150445,0.00176352062901415
2016,"VCF0806--VCF0809",0.357600675012053,TRUE,0.314769255729921,0.403254416986543
2016,"VCF0806--VCF0838",0.181921384698232,TRUE,0.137455330165986,0.229923097240324
2016,"VCF0806--VCF0839",0.190850385470592,TRUE,0.143755973760844,0.242223838800035
2016,"VCF0806--VCF0879a",0.0658181576864972,TRUE,0.0141812002879691,0.102068944828247
2016,"VCF0806--VCF0888",-0.0783115642198743,TRUE,-0.128658783890285,-0.0299009930224973
2016,"VCF0806--VCF0890",0.0590306809790036,TRUE,0.00483895168099149,0.11195241300859
2016,"VCF0806--VCF0894",0.114332152702858,TRUE,0.0668403699227344,0.164829292724432
2016,"VCF0806--VCF9223",0.0186252735363306,TRUE,0,0.0661672433875972
2016,"VCF0809--VCF0838",-0.0734135665583111,TRUE,-0.12106060890747,-0.0145646360692587
2016,"VCF0809--VCF0839",0.216271398419299,TRUE,0.160390917505309,0.268247313896385
2016,"VCF0809--VCF0879a",0,FALSE,-0.0230481207050911,0.0399516398341296
2016,"VCF0809--VCF0888",0,FALSE,-0.0352292543725978,0.0408284597576401
2016,"VCF0809--VCF0890",0.052471021635499,TRUE,0,0.109319716258025
