"Module","Action","Bootstrap","Centrality","NCT","Significance_testing","Matrix_repair","Category_merging"
"D11","ESTIMATE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"D20A_GAMMA025","ESTIMATE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"D20A_NO_VCF0839","ESTIMATE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"D15_REUSE","REUSE_ONLY",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"D19_MODE","DIAGNOSE_THEN_ESTIMATE",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
