"File","Path","Exists","Expected_SHA256","Observed_SHA256","Hash_matches"
"D11_PAIRWISE_N_MATRIX_2004.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2004.csv",TRUE,"17A6A70F6E888A23FC46E79CEC858612C80D46F5E78168DA4BF254039C00E883","17A6A70F6E888A23FC46E79CEC858612C80D46F5E78168DA4BF254039C00E883",TRUE
"D11_PAIRWISE_N_MATRIX_2012.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2012.csv",TRUE,"2DC9DE34A9ADE17E219A6831064582E02BB6210875B0D46FF373A9E83F75C588","2DC9DE34A9ADE17E219A6831064582E02BB6210875B0D46FF373A9E83F75C588",TRUE
"D11_PAIRWISE_N_MATRIX_2016.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2016.csv",TRUE,"5CB463D19F7B364401FDFB83C158A6C048B1DCCA9B1181D8C7DB3EAF8590D69B","5CB463D19F7B364401FDFB83C158A6C048B1DCCA9B1181D8C7DB3EAF8590D69B",TRUE
"D11_PAIRWISE_N_MATRIX_2020.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2020.csv",TRUE,"95145236E312928CDA40BC1344A4E942B510FEED269E65A12EA3E83CA81D35D0","95145236E312928CDA40BC1344A4E942B510FEED269E65A12EA3E83CA81D35D0",TRUE
"D11_PAIRWISE_N_MATRIX_2024.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_MATRIX_2024.csv",TRUE,"BBDEA9BBB004A23F0A1793F1E8AE1A99CBA0E4AADD7C7639C26F1F5347B26E87","BBDEA9BBB004A23F0A1793F1E8AE1A99CBA0E4AADD7C7639C26F1F5347B26E87",TRUE
"D11_CORRELATION_MATRIX_2004.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2004.csv",TRUE,"6A79A449B794FE7E57947D6D7BD7959F94E3C916FD4B9BB0903AA70F02967429","6A79A449B794FE7E57947D6D7BD7959F94E3C916FD4B9BB0903AA70F02967429",TRUE
"D11_CORRELATION_MATRIX_2012.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2012.csv",TRUE,"A46631F0328AE973A273AC2BFD957AF13D9C73047DF87E207FE2AC30E71AF182","A46631F0328AE973A273AC2BFD957AF13D9C73047DF87E207FE2AC30E71AF182",TRUE
"D11_CORRELATION_MATRIX_2016.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2016.csv",TRUE,"D13BBF68B23D4097677A3286DCDD6D8048BFC1D70DD76C4AF6DC5452A8D657CC","D13BBF68B23D4097677A3286DCDD6D8048BFC1D70DD76C4AF6DC5452A8D657CC",TRUE
"D11_CORRELATION_MATRIX_2020.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2020.csv",TRUE,"7D598E978CF7CAAFDE63D43006237FCB36B8276B3799956838C369E969C7B946","7D598E978CF7CAAFDE63D43006237FCB36B8276B3799956838C369E969C7B946",TRUE
"D11_CORRELATION_MATRIX_2024.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_MATRIX_2024.csv",TRUE,"0D7DFD9EA391FE423A11D5CF8395369D02588B760CA1BEF42BD292D592985742","0D7DFD9EA391FE423A11D5CF8395369D02588B760CA1BEF42BD292D592985742",TRUE
"D11_PAIRWISE_N_SUMMARY.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_PAIRWISE_N_SUMMARY.csv",TRUE,"456A5648C2B7C2EAC6DE1D8AEFBBB63B5A2B3882F41EF33E093D16E7640520D1","456A5648C2B7C2EAC6DE1D8AEFBBB63B5A2B3882F41EF33E093D16E7640520D1",TRUE
"D11_CORRELATION_TYPES.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CORRELATION_TYPES.csv",TRUE,"6E8F5A662B32D5F85BEE5EC7458AE6E1E65004F78F27AA85C2B07CCE10BFAA52","6E8F5A662B32D5F85BEE5EC7458AE6E1E65004F78F27AA85C2B07CCE10BFAA52",TRUE
"D11_CONDITION_LOG.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CONDITION_LOG.csv",TRUE,"620A7CBFE73B61D99676CA827951F01A13C167F7918EE4EEB49E5562C365CAAB","620A7CBFE73B61D99676CA827951F01A13C167F7918EE4EEB49E5562C365CAAB",TRUE
"D11_CONDITION_SUMMARY.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_CONDITION_SUMMARY.csv",TRUE,"066AB8BB2F22D5A5DF5131B1EA428B020713BCA17322F0137BEE6AC9B448C889","066AB8BB2F22D5A5DF5131B1EA428B020713BCA17322F0137BEE6AC9B448C889",TRUE
"D11_MATRIX_CHECKS.csv","D:/ANES_code/ANES_dissertation/data/audit/D11_PAIRWISE_20260828/D11_MATRIX_CHECKS.csv",TRUE,"DA415921D9F970CD3D76C3B287554A917CB3A4996326517034E000E49652E5DE","DA415921D9F970CD3D76C3B287554A917CB3A4996326517034E000E49652E5DE",TRUE
