"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Sensitivity_edge_weight","Primary_retained","Sensitivity_retained","Primary_sign","Sensitivity_sign","State_matches_primary","Absolute_edge_difference"
"A1",2012,"VCF0806--VCF0839","VCF0806","VCF0839",0.234328527509928,0.234254292257682,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,7.4235252246424e-05
"A1",2012,"VCF0809--VCF0839","VCF0809","VCF0839",0.189210653527643,0.189472780775008,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000262127247364852
"A1",2012,"VCF0838--VCF0839","VCF0838","VCF0839",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2012,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0493033840706338,0.0503551342684981,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00105175019786434
"A1",2012,"VCF0809--VCF0879a","VCF0809","VCF0879a",-0.0194987239175984,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.0194987239175984
"A1",2012,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,0,FALSE,FALSE,"ZERO","ZERO",TRUE,0
"A1",2012,"VCF0839--VCF0879a","VCF0839","VCF0879a",0.0243666958303837,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0243666958303837
"A1",2012,"VCF0806--VCF0888","VCF0806","VCF0888",-0.023095672005309,0,TRUE,FALSE,"NEGATIVE","ZERO",FALSE,0.023095672005309
"A1",2012,"VCF0809--VCF0888","VCF0809","VCF0888",0.0462895145169454,0.0489597954327103,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00267028091576487
"A1",2012,"VCF0838--VCF0888","VCF0838","VCF0888",-0.111103873701375,-0.114984898621084,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00388102491970843
"A1",2012,"VCF0839--VCF0888","VCF0839","VCF0888",0.0279994439971449,0,TRUE,FALSE,"POSITIVE","ZERO",FALSE,0.0279994439971449
"A1",2012,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.122256344533936,-0.12039780719001,TRUE,TRUE,"NEGATIVE","NEGATIVE",TRUE,0.00185853734392601
"A1",2012,"VCF0806--VCF0890","VCF0806","VCF0890",0.0586270926415524,0.0589803974747315,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.000353304833179129
"A1",2012,"VCF0809--VCF0890","VCF0809","VCF0890",0.0920263712391898,0.0909934427669277,TRUE,TRUE,"POSITIVE","POSITIVE",TRUE,0.00103292847226215
