"Claim_type","Final_status","Count"
"WAVE_NETWORK_DESCRIPTOR","DESCRIPTIVE_AUDIT_COMPLETE",15
"EDGE_SIGN_AND_RETENTION","MIXED",13
"WAVE_CONTRAST_DIRECTION","MIXED",1
"EDGE_SIGN_AND_RETENTION","NOT_ROBUST",93
"WAVE_CONTRAST_DIRECTION","NOT_ROBUST",6
"EDGE_SIGN_AND_RETENTION","ROBUST",74
"WAVE_CONTRAST_DIRECTION","ROBUST",3
