"Arm_ID","Wave","Edge_ID","Node_1","Node_2","Primary_edge_weight","Successful_repetitions","Success_rate","Retention_frequency","Primary_state_match_proportion","Same_sign_when_retained","Median_edge_weight","Lower_edge_weight","Upper_edge_weight"
"A2",2012,"VCF0809--VCF0838","VCF0809","VCF0838",0,1000,1,0.186,0.814,,0,-0.047298483976506,0.0366425163263682
"A2",2012,"VCF0806--VCF0839","VCF0806","VCF0839",0.234328527509928,1000,1,1,1,1,0.230401042795294,0.154864398429543,0.300428073109231
"A2",2012,"VCF0809--VCF0839","VCF0809","VCF0839",0.189210653527643,1000,1,1,1,1,0.186756761039195,0.106463731284556,0.264261449458176
"A2",2012,"VCF0838--VCF0839","VCF0838","VCF0839",0,1000,1,0.335,0.665,,0,0,0.0610604440337723
"A2",2012,"VCF0806--VCF0879a","VCF0806","VCF0879a",0.0493033840706338,1000,1,0.8,0.8,1,0.0336097073280211,0,0.10146296778848
"A2",2012,"VCF0809--VCF0879a","VCF0809","VCF0879a",-0.0194987239175984,1000,1,0.216,0.192,0.888888888888889,0,-0.062453613736462,0
"A2",2012,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,1000,1,0.356,0.644,,0,-0.0411371369900092,0.0642512227816817
"A2",2012,"VCF0839--VCF0879a","VCF0839","VCF0879a",0.0243666958303837,1000,1,0.584,0.584,1,0.0120041749493285,0,0.0830664068095958
"A2",2012,"VCF0806--VCF0888","VCF0806","VCF0888",-0.023095672005309,1000,1,0.255,0.217,0.850980392156863,0,-0.0762460634046381,0.0146859077983899
"A2",2012,"VCF0809--VCF0888","VCF0809","VCF0888",0.0462895145169454,1000,1,0.759,0.756,0.99604743083004,0.0302018779634722,0,0.11020283451584
"A2",2012,"VCF0838--VCF0888","VCF0838","VCF0888",-0.111103873701375,1000,1,0.925,0.925,1,-0.078429578767044,-0.165449790943166,0
"A2",2012,"VCF0839--VCF0888","VCF0839","VCF0888",0.0279994439971449,1000,1,0.573,0.569,0.993019197207679,0.0113998847198669,0,0.098329360416162
"A2",2012,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.122256344533936,1000,1,0.993,0.993,1,-0.113407341777394,-0.190168466711632,-0.024424596029595
"A2",2012,"VCF0806--VCF0890","VCF0806","VCF0890",0.0586270926415524,1000,1,0.91,0.91,1,0.0609934212049383,0,0.143327745339123
"A2",2012,"VCF0809--VCF0890","VCF0809","VCF0890",0.0920263712391898,1000,1,0.991,0.991,1,0.0960672349002638,0.0179038465577609,0.178042452500862
"A2",2012,"VCF0838--VCF0890","VCF0838","VCF0890",0.173712290542379,1000,1,0.999,0.999,1,0.139894874959875,0.0638615294460955,0.23492890469461
"A2",2012,"VCF0839--VCF0890","VCF0839","VCF0890",0.263346205380432,1000,1,1,1,1,0.258876405461744,0.1775756741593,0.333779968014736
"A2",2012,"VCF0879a--VCF0890","VCF0879a","VCF0890",-0.0328432083530345,1000,1,0.303,0.257,0.848184818481848,0,-0.101451468651574,0.0189806224300637
"A2",2012,"VCF0888--VCF0890","VCF0888","VCF0890",0.305355221016655,1000,1,1,1,1,0.279258815763203,0.190800295230769,0.368387564289179
