"Software","Version_locked","Version_loaded_for_Step10","Role","Step10_model_execution"
"R","4.5.2","4.5.2","Analysis environment","NO"
"qgraph","1.10.1","1.10.1","Primary network estimation and visualisation in earlier validated steps","NO"
"bootnet","1.9.1","1.9.1","Bootstrap accuracy and stability in earlier validated steps","NO"
"psych","2.6.5","2.6.5","Polychoric correlations in earlier validated steps","NO"
"lavaan","0.7-2","0.7.2","Correlation support in earlier validated steps","NO"
"digest","0.6.39","0.6.39","SHA-256 hashing in Step 10","NO"
"knitr","1.51","1.51","Step 10 report rendering","NO"
"rmarkdown","2.31","2.31","Step 10 report rendering","NO"
"renv","1.2.0","1.2.0","Project dependency lock","NO"
