"Node","Abbreviation","Short_label","Higher_values_mean"
"VCF0806","HEA","Health","Greater support for government health insurance"
"VCF0809","JOB","Jobs","Greater government responsibility for jobs and living standards"
"VCF0838","ABO","Abortion","More permissive abortion policy"
"VCF0839","SER","Services","More government services and spending"
"VCF0879a","IMM","Immigration","Greater support for increasing immigration"
"VCF0888","CRI","Crime","Greater support for increased federal crime spending"
"VCF0890","SCH","Schools","Greater support for increased federal public-school spending"
"VCF0894","WEL","Welfare","Greater support for increased federal welfare spending"
"VCF9223","LJT","Less job threat","Lower perceived likelihood that immigration takes jobs"
