"Wave","Edges","Retained_edges","All_edges_percentile_interval_excluding_zero","Retained_edges_percentile_interval_excluding_zero","Median_percentile_interval_width","Maximum_percentile_interval_width","Median_bootstrap_zero_proportion","Maximum_absolute_mean_point_difference","Retained_edges_with_reproduced_sign"
2004,36,25,9,9,0.150794918948854,0.242590574197305,0.133,0.0216043729348571,25
2012,36,32,21,21,0.0761430966646137,0.093698865049361,0.001,0.0105920660529907,32
2016,36,32,23,23,0.0982283939204443,0.133777313136017,0.001,0.0109081027711662,32
2020,36,32,24,24,0.0711947360994905,0.088234044364787,0,0.00674652745049113,32
2024,36,33,26,26,0.0893689077335492,0.12147873742751,0,0.0101617794760604,33
