"Group_key","Wave","Education_group","N","Node_1","Node_2","Edge_weight","Retained_under_EBICglasso"
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0888","VCF0894",0,FALSE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0890","VCF0894",0.158218278903102,TRUE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0806","VCF9223",0.0560010405711913,TRUE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0809","VCF9223",0,FALSE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0838","VCF9223",0.100871274803591,TRUE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0839","VCF9223",0.0622537020415194,TRUE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0879a","VCF9223",0.425341202936038,TRUE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0888","VCF9223",-0.0873503141363539,TRUE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0890","VCF9223",0,FALSE
"2012__college_or_advanced",2012,"College or advanced degree",1531,"VCF0894","VCF9223",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0809",0.359535103572043,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0838",0.131861288888367,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF0838",-0.0358618327649292,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0839",0.162612654299732,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF0839",0.195951558479148,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0838","VCF0839",0.0725629822081557,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0879a",0.0502187148074353,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF0879a",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0838","VCF0879a",0.000345517396520824,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0839","VCF0879a",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0888",-0.126995291066065,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF0888",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0838","VCF0888",-0.0681550074773843,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0839","VCF0888",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0879a","VCF0888",-0.0842952836006459,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0890",0.108603540311051,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF0890",0.056557371349768,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0838","VCF0890",0.102882183501794,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0839","VCF0890",0.215721559297516,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0879a","VCF0890",0.0147653805179254,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0888","VCF0890",0.224267747173254,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF0894",0.115135571861175,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF0894",0.155831433256029,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0838","VCF0894",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0839","VCF0894",0.313259141520291,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0879a","VCF0894",0.265473929294794,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0888","VCF0894",-0.00812881580762771,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0890","VCF0894",0.123618187033864,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0806","VCF9223",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0809","VCF9223",0,FALSE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0838","VCF9223",0.0991857105982312,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0839","VCF9223",0.028859509930681,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0879a","VCF9223",0.408313716975423,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0888","VCF9223",-0.10281904934968,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0890","VCF9223",0.0689794578478181,TRUE
"2016__no_college_degree",2016,"No college degree",1478,"VCF0894","VCF9223",0,FALSE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0809",0.344138683308747,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0838",0.245293162025142,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF0838",-0.106491054805313,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0839",0.207942298538972,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF0839",0.258513937091266,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0838","VCF0839",0.0499984614129959,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0879a",0.0784531388897405,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF0879a",0.00885299711983075,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0838","VCF0879a",0,FALSE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0839","VCF0879a",0.0220501506267234,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0888",-0.0168921295410824,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF0888",0,FALSE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0838","VCF0888",-0.108899096609634,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0839","VCF0888",0.0691712603044174,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0879a","VCF0888",-0.0692865535274189,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0806","VCF0890",0,FALSE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0809","VCF0890",0.0269842070911038,TRUE
"2016__college_or_advanced",2016,"College or advanced degree",1216,"VCF0838","VCF0890",0.110584996305207,TRUE
