"Wave","Edge_ID","Node_1","Node_2","Point_edge","Retained_under_EBICglasso","Bootstrap_mean","Bootstrap_sd","Reported_CI_lower","Reported_CI_upper","Percentile_2_5","Percentile_97_5","Bootstrap_zero_proportion","Reported_CI_width","Percentile_interval_width","Percentile_interval_includes_zero","Bootstrap_mean_minus_point","Retained_edge_sign_reproduced","Interpretation_boundary"
2004,"VCF0809--VCF9223","VCF0809","VCF9223",-0.0428131826413368,TRUE,-0.0524437863866228,0.0391792002332711,-0.121171583107879,0.0355452178252054,-0.134157134619769,0,0.172,0.156716800933084,0.134157134619769,TRUE,-0.009630603745286,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0838--VCF0839","VCF0838","VCF0839",0.0766442393357764,TRUE,0.0750170962404181,0.041907683201108,-0.00717112706643967,0.160459605737993,0,0.158766469177952,0.057,0.167630732804433,0.158766469177952,TRUE,-0.0016271430953583,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0838--VCF0879a","VCF0838","VCF0879a",0,FALSE,-0.00704656046678885,0.0292141991376495,-0.0584283982752989,0.0584283982752989,-0.0920116424892348,0.0420404172885311,0.683,0.116856796550598,0.134052059777766,TRUE,-0.00704656046678885,NA,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0838--VCF0888","VCF0838","VCF0888",-0.0374456271586838,TRUE,-0.0467364254096341,0.0423167566994796,-0.122079140557643,0.0471878862402754,-0.133409826848605,0,0.268,0.169267026797918,0.133409826848605,TRUE,-0.00929079825095031,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0838--VCF0890","VCF0838","VCF0890",0.0613363217966801,TRUE,0.0697658344704486,0.0508640196359025,-0.0403917174751249,0.163064361068485,0,0.1810703094038,0.139,0.20345607854361,0.1810703094038,TRUE,0.00842951267376849,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0838--VCF0894","VCF0838","VCF0894",0,FALSE,-0.00204902817022307,0.0280347007212603,-0.0560694014425205,0.0560694014425205,-0.0835531067390915,0.0576604937531197,0.674,0.112138802885041,0.141213600492211,TRUE,-0.00204902817022307,NA,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0838--VCF9223","VCF0838","VCF9223",0.0742691350936274,TRUE,0.0834270026675415,0.0437499283388173,-0.0132307215840073,0.161768991771262,0,0.170904519591722,0.049,0.174999713355269,0.170904519591722,TRUE,0.0091578675739141,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0839--VCF0879a","VCF0839","VCF0879a",0,FALSE,-0.00997849938172194,0.0268471118376333,-0.0536942236752665,0.0536942236752665,-0.0910560814312323,0.0271384707660624,0.709,0.107388447350533,0.118194552197295,TRUE,-0.00997849938172194,NA,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0839--VCF0888","VCF0839","VCF0888",0,FALSE,-0.0121852094660394,0.0297048303370345,-0.059409660674069,0.059409660674069,-0.0930952628064445,0.0346815605822658,0.653,0.118819321348138,0.12777682338871,TRUE,-0.0121852094660394,NA,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0839--VCF0890","VCF0839","VCF0890",0.302310172712598,TRUE,0.302837057139401,0.0464584911919503,0.209393190328697,0.395227155096498,0.213845401854939,0.396190178009845,0,0.185833964767801,0.182344776154906,FALSE,0.000526884426802987,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0839--VCF0894","VCF0839","VCF0894",0.178137225084089,TRUE,0.183930564335806,0.048466973162271,0.0812032787595476,0.275071171408631,0.0839812590931555,0.278456484492313,0,0.193867892649083,0.194475225399157,FALSE,0.00579333925171702,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0839--VCF9223","VCF0839","VCF9223",-0.0798569215033069,TRUE,-0.0745616986626955,0.0384383146468774,-0.156733550797062,-0.00298029220955211,-0.150557201176051,0,0.042,0.15375325858751,0.150557201176051,TRUE,0.00529522284061139,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0879a--VCF0888","VCF0879a","VCF0888",-0.0743041345843866,TRUE,-0.0808066168814022,0.0491264527552641,-0.172557040094915,0.0239487709261416,-0.178961722126101,0,0.083,0.196505811021057,0.178961722126101,TRUE,-0.0065024822970156,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0879a--VCF0890","VCF0879a","VCF0890",0.0499912636732557,TRUE,0.0646574540996716,0.0542708499604761,-0.0585504362476965,0.158532963594208,0,0.181725067507037,0.197,0.217083399841905,0.181725067507037,TRUE,0.0146661904264159,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0879a--VCF0894","VCF0879a","VCF0894",0.0872300472315628,TRUE,0.0758360980352858,0.0421051590806127,0.0030197290703373,0.171440365392788,0,0.157373188974822,0.069,0.168420636322451,0.157373188974822,TRUE,-0.011393949196277,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
2004,"VCF0879a--VCF9223","VCF0879a","VCF9223",0.449956286828701,TRUE,0.452475054647378,0.0376525584779185,0.374651169872864,0.525261403784539,0.377007083727496,0.528039720449152,0,0.150610233911675,0.151032636721656,FALSE,0.00251876781867705,TRUE,"WITHIN_WAVE_ACCURACY_ONLY;NOT_A_BETWEEN_WAVE_DIFFERENCE_TEST"
