year,stage,condition_type,condition_n
2004,lavaan_lavCor_unsuppressed,warning,1
2012,lavaan_lavCor_unsuppressed,warning,1
2016,lavaan_lavCor_unsuppressed,warning,1
2020,lavaan_lavCor_unsuppressed,warning,1
2024,lavaan_lavCor_unsuppressed,warning,1
