node,VCF0806,VCF0809,VCF0838,VCF0839,VCF0888,VCF0890,VCF0894,VCF0879a,VCF9223
VCF0806,1112,1032,961,1004,1104,1104,1097,963,973
VCF0809,1032,1103,956,984,1094,1094,1088,956,968
VCF0838,961,956,1047,924,1037,1039,1030,1030,1042
VCF0839,1004,984,924,1060,1053,1053,1046,924,936
VCF0888,1104,1094,1037,1053,1198,1191,1185,1037,1050
VCF0890,1104,1094,1039,1053,1191,1201,1184,1040,1053
VCF0894,1097,1088,1030,1046,1185,1184,1190,1032,1043
VCF0879a,963,956,1030,924,1037,1040,1032,1047,1043
VCF9223,973,968,1042,936,1050,1053,1043,1043,1059
