node,VCF0806,VCF0809,VCF0838,VCF0839,VCF0888,VCF0890,VCF0894,VCF0879a,VCF9223
VCF0806,5471,5177,5428,4994,5432,5448,5424,5012,5069
VCF0809,5177,5476,5430,4991,5438,5455,5423,5027,5074
VCF0838,5428,5430,5855,5200,5816,5833,5803,5355,5412
VCF0839,4994,4991,5200,5241,5205,5221,5192,4822,4864
VCF0888,5432,5438,5816,5205,5861,5851,5817,5360,5415
VCF0890,5448,5455,5833,5221,5851,5881,5834,5375,5432
VCF0894,5424,5423,5803,5192,5817,5834,5848,5349,5404
VCF0879a,5012,5027,5355,4822,5360,5375,5349,5390,5372
VCF9223,5069,5074,5412,4864,5415,5432,5404,5372,5451
