node,VCF0806,VCF0809,VCF0838,VCF0839,VCF0888,VCF0890,VCF0894,VCF0879a,VCF9223
VCF0806,3765,3500,3722,3367,3754,3752,3737,3219,3230
VCF0809,3500,3773,3731,3391,3766,3763,3751,3235,3245
VCF0838,3722,3731,4207,3585,4198,4197,4179,3580,3586
VCF0839,3367,3391,3585,3627,3617,3616,3602,3113,3124
VCF0888,3754,3766,4198,3617,4247,4236,4223,3613,3620
VCF0890,3752,3763,4197,3616,4236,4247,4218,3612,3620
VCF0894,3737,3751,4179,3602,4223,4218,4228,3599,3606
VCF0879a,3219,3235,3580,3113,3613,3612,3599,3621,3609
VCF9223,3230,3245,3586,3124,3620,3620,3606,3609,3629
