year,eligible_wave_n,complete_case_n,ordered_factor_assertion,minimum_observed_categories,category_count_assertion,pair_type_assertion,cor_auto_matrix_available,lavCor_matrix_available,all_correlations_finite,symmetry_max_abs_difference,diagonal_max_abs_difference_from_one,maximum_abs_correlation,cor_auto_lavCor_max_abs_difference,cor_auto_lavCor_match,minimum_eigenvalue,positive_definite,cholesky_success,warning_count,message_count,error_count,all_node_missing_case_n,zero_cells_total,cells_1_to_4_total,cells_5_to_9_total,cells_10_plus_total,review_flags,pre_estimation_status,final_D11_network_status
2004,1212,789,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0,TRUE,0.387903226926344,TRUE,TRUE,1,0,0,1,3,47,64,619,software_warning|zero_cells_present|cells_1_to_4_present|cells_5_to_9_present,PRE_ESTIMATION_DIAGNOSTICS_PASS_WITH_REVIEW_FLAGS,NOT_RUN_D21_REQUIRED
2012,5914,4353,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0,TRUE,0.375979359352291,TRUE,TRUE,1,0,0,4,0,1,4,728,software_warning|cells_1_to_4_present|cells_5_to_9_present,PRE_ESTIMATION_DIAGNOSTICS_PASS_WITH_REVIEW_FLAGS,NOT_RUN_D21_REQUIRED
2016,4270,2709,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0,TRUE,0.346749291334042,TRUE,TRUE,1,0,0,7,0,1,11,721,software_warning|cells_1_to_4_present|cells_5_to_9_present,PRE_ESTIMATION_DIAGNOSTICS_PASS_WITH_REVIEW_FLAGS,NOT_RUN_D21_REQUIRED
2020,8280,5390,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0,TRUE,0.315953562609827,TRUE,TRUE,1,0,0,5,0,2,5,726,software_warning|cells_1_to_4_present|cells_5_to_9_present,PRE_ESTIMATION_DIAGNOSTICS_PASS_WITH_REVIEW_FLAGS,NOT_RUN_D21_REQUIRED
2024,5521,3525,TRUE,3,TRUE,TRUE,TRUE,TRUE,TRUE,0,0,1,0,TRUE,0.333415495126133,TRUE,TRUE,1,0,0,24,0,3,10,720,software_warning|cells_1_to_4_present|cells_5_to_9_present,PRE_ESTIMATION_DIAGNOSTICS_PASS_WITH_REVIEW_FLAGS,NOT_RUN_D21_REQUIRED
