node,VCF0806,VCF0809,VCF0838,VCF0839,VCF0888,VCF0890,VCF0894,VCF0879a,VCF9223
VCF0806,7352,6862,7038,6605,7316,7337,7318,6577,6610
VCF0809,6862,7322,7016,6562,7291,7307,7289,6545,6578
VCF0838,7038,7016,7900,6761,7865,7885,7864,7038,7072
VCF0839,6605,6562,6761,7067,7037,7056,7037,6347,6376
VCF0888,7316,7291,7865,7037,8227,8216,8192,7317,7355
VCF0890,7337,7307,7885,7056,8216,8251,8213,7333,7372
VCF0894,7318,7289,7864,7037,8192,8213,8223,7314,7351
VCF0879a,6577,6545,7038,6347,7317,7333,7314,7350,7341
VCF9223,6610,6578,7072,6376,7355,7372,7351,7341,7389
