year,eigen_index_descending,eigenvalue
2004,1,2.69216817910242
2004,2,1.69029684976061
2004,3,1.04001421747049
2004,4,0.934117611592911
2004,5,0.729562364536037
2004,6,0.594730492829106
2004,7,0.48612504777624
2004,8,0.445082010005846
2004,9,0.387903226926344
2012,1,3.21435936600269
2012,2,1.61617149797138
2012,3,0.952237725541641
2012,4,0.891681320635197
2012,5,0.572609127050379
2012,6,0.504647154730165
2012,7,0.451422442412159
2012,8,0.420892006304097
2012,9,0.375979359352291
2016,1,3.61076499059665
2016,2,1.36078236756045
2016,3,0.928430246971712
2016,4,0.836175640676376
2016,5,0.579843176130335
2016,6,0.526923248549697
2016,7,0.433567752167397
2016,8,0.376763286013351
2016,9,0.346749291334042
2020,1,4.40700529699387
2020,2,1.17765241264742
2020,3,0.793551528531436
2020,4,0.661813424785817
2020,5,0.484616443701151
2020,6,0.462874172068707
2020,7,0.377699807393801
2020,8,0.318833351267975
2020,9,0.315953562609827
2024,1,4.17911216991194
2024,2,1.19901412730597
2024,3,0.831908890099347
2024,4,0.673656147826425
2024,5,0.507617565809783
2024,6,0.486893380198545
2024,7,0.414541889826723
2024,8,0.373840333895129
2024,9,0.333415495126133
