year,node1,node2,pairwise_n
2016,VCF0890,VCF0809,3763
2016,VCF0894,VCF0809,3751
2016,VCF0879a,VCF0809,3235
2016,VCF9223,VCF0809,3245
2016,VCF0806,VCF0838,3722
2016,VCF0809,VCF0838,3731
2016,VCF0838,VCF0838,4207
2016,VCF0839,VCF0838,3585
2016,VCF0888,VCF0838,4198
2016,VCF0890,VCF0838,4197
2016,VCF0894,VCF0838,4179
2016,VCF0879a,VCF0838,3580
2016,VCF9223,VCF0838,3586
2016,VCF0806,VCF0839,3367
2016,VCF0809,VCF0839,3391
2016,VCF0838,VCF0839,3585
2016,VCF0839,VCF0839,3627
2016,VCF0888,VCF0839,3617
2016,VCF0890,VCF0839,3616
2016,VCF0894,VCF0839,3602
2016,VCF0879a,VCF0839,3113
2016,VCF9223,VCF0839,3124
2016,VCF0806,VCF0888,3754
2016,VCF0809,VCF0888,3766
2016,VCF0838,VCF0888,4198
2016,VCF0839,VCF0888,3617
2016,VCF0888,VCF0888,4247
2016,VCF0890,VCF0888,4236
2016,VCF0894,VCF0888,4223
2016,VCF0879a,VCF0888,3613
2016,VCF9223,VCF0888,3620
2016,VCF0806,VCF0890,3752
2016,VCF0809,VCF0890,3763
2016,VCF0838,VCF0890,4197
2016,VCF0839,VCF0890,3616
2016,VCF0888,VCF0890,4236
2016,VCF0890,VCF0890,4247
2016,VCF0894,VCF0890,4218
2016,VCF0879a,VCF0890,3612
2016,VCF9223,VCF0890,3620
2016,VCF0806,VCF0894,3737
2016,VCF0809,VCF0894,3751
2016,VCF0838,VCF0894,4179
2016,VCF0839,VCF0894,3602
2016,VCF0888,VCF0894,4223
2016,VCF0890,VCF0894,4218
2016,VCF0894,VCF0894,4228
2016,VCF0879a,VCF0894,3599
2016,VCF9223,VCF0894,3606
2016,VCF0806,VCF0879a,3219
2016,VCF0809,VCF0879a,3235
2016,VCF0838,VCF0879a,3580
2016,VCF0839,VCF0879a,3113
2016,VCF0888,VCF0879a,3613
2016,VCF0890,VCF0879a,3612
2016,VCF0894,VCF0879a,3599
2016,VCF0879a,VCF0879a,3621
2016,VCF9223,VCF0879a,3609
2016,VCF0806,VCF9223,3230
2016,VCF0809,VCF9223,3245
2016,VCF0838,VCF9223,3586
2016,VCF0839,VCF9223,3124
2016,VCF0888,VCF9223,3620
2016,VCF0890,VCF9223,3620
2016,VCF0894,VCF9223,3606
2016,VCF0879a,VCF9223,3609
2016,VCF9223,VCF9223,3629
2020,VCF0806,VCF0806,7352
2020,VCF0809,VCF0806,6862
2020,VCF0838,VCF0806,7038
2020,VCF0839,VCF0806,6605
2020,VCF0888,VCF0806,7316
2020,VCF0890,VCF0806,7337
2020,VCF0894,VCF0806,7318
2020,VCF0879a,VCF0806,6577
2020,VCF9223,VCF0806,6610
2020,VCF0806,VCF0809,6862
2020,VCF0809,VCF0809,7322
2020,VCF0838,VCF0809,7016
2020,VCF0839,VCF0809,6562
2020,VCF0888,VCF0809,7291
2020,VCF0890,VCF0809,7307
2020,VCF0894,VCF0809,7289
2020,VCF0879a,VCF0809,6545
2020,VCF9223,VCF0809,6578
2020,VCF0806,VCF0838,7038
2020,VCF0809,VCF0838,7016
2020,VCF0838,VCF0838,7900
2020,VCF0839,VCF0838,6761
2020,VCF0888,VCF0838,7865
2020,VCF0890,VCF0838,7885
2020,VCF0894,VCF0838,7864
2020,VCF0879a,VCF0838,7038
2020,VCF9223,VCF0838,7072
2020,VCF0806,VCF0839,6605
2020,VCF0809,VCF0839,6562
2020,VCF0838,VCF0839,6761
2020,VCF0839,VCF0839,7067
2020,VCF0888,VCF0839,7037
2020,VCF0890,VCF0839,7056
2020,VCF0894,VCF0839,7037
2020,VCF0879a,VCF0839,6347
2020,VCF9223,VCF0839,6376
2020,VCF0806,VCF0888,7316
2020,VCF0809,VCF0888,7291
2020,VCF0838,VCF0888,7865
2020,VCF0839,VCF0888,7037
2020,VCF0888,VCF0888,8227
2020,VCF0890,VCF0888,8216
2020,VCF0894,VCF0888,8192
2020,VCF0879a,VCF0888,7317
2020,VCF9223,VCF0888,7355
2020,VCF0806,VCF0890,7337
2020,VCF0809,VCF0890,7307
2020,VCF0838,VCF0890,7885
2020,VCF0839,VCF0890,7056
2020,VCF0888,VCF0890,8216
2020,VCF0890,VCF0890,8251
2020,VCF0894,VCF0890,8213
2020,VCF0879a,VCF0890,7333
2020,VCF9223,VCF0890,7372
2020,VCF0806,VCF0894,7318
2020,VCF0809,VCF0894,7289
2020,VCF0838,VCF0894,7864
2020,VCF0839,VCF0894,7037
2020,VCF0888,VCF0894,8192
2020,VCF0890,VCF0894,8213
2020,VCF0894,VCF0894,8223
2020,VCF0879a,VCF0894,7314
2020,VCF9223,VCF0894,7351
2020,VCF0806,VCF0879a,6577
2020,VCF0809,VCF0879a,6545
2020,VCF0838,VCF0879a,7038
2020,VCF0839,VCF0879a,6347
2020,VCF0888,VCF0879a,7317
2020,VCF0890,VCF0879a,7333
2020,VCF0894,VCF0879a,7314
2020,VCF0879a,VCF0879a,7350
2020,VCF9223,VCF0879a,7341
2020,VCF0806,VCF9223,6610
2020,VCF0809,VCF9223,6578
2020,VCF0838,VCF9223,7072
2020,VCF0839,VCF9223,6376
2020,VCF0888,VCF9223,7355
2020,VCF0890,VCF9223,7372
2020,VCF0894,VCF9223,7351
2020,VCF0879a,VCF9223,7341
2020,VCF9223,VCF9223,7389
2024,VCF0806,VCF0806,4778
2024,VCF0809,VCF0806,4466
2024,VCF0838,VCF0806,4557
2024,VCF0839,VCF0806,4313
2024,VCF0888,VCF0806,4762
2024,VCF0890,VCF0806,4763
2024,VCF0894,VCF0806,4738
2024,VCF0879a,VCF0806,4287
2024,VCF9223,VCF0806,4306
2024,VCF0806,VCF0809,4466
2024,VCF0809,VCF0809,4742
2024,VCF0838,VCF0809,4521
2024,VCF0839,VCF0809,4293
2024,VCF0888,VCF0809,4725
2024,VCF0890,VCF0809,4729
2024,VCF0894,VCF0809,4711
2024,VCF0879a,VCF0809,4257
2024,VCF9223,VCF0809,4278
2024,VCF0806,VCF0838,4557
2024,VCF0809,VCF0838,4521
2024,VCF0838,VCF0838,5021
2024,VCF0839,VCF0838,4348
2024,VCF0888,VCF0838,5004
2024,VCF0890,VCF0838,5007
2024,VCF0894,VCF0838,4986
2024,VCF0879a,VCF0838,4485
2024,VCF9223,VCF0838,4504
2024,VCF0806,VCF0839,4313
2024,VCF0809,VCF0839,4293
2024,VCF0838,VCF0839,4348
2024,VCF0839,VCF0839,4751
2024,VCF0888,VCF0839,4556
2024,VCF0890,VCF0839,4559
2024,VCF0894,VCF0839,4544
2024,VCF0879a,VCF0839,4271
2024,VCF9223,VCF0839,4135
2024,VCF0806,VCF0888,4762
2024,VCF0809,VCF0888,4725
2024,VCF0838,VCF0888,5004
2024,VCF0839,VCF0888,4556
2024,VCF0888,VCF0888,5246
2024,VCF0890,VCF0888,5235
2024,VCF0894,VCF0888,5209
2024,VCF0879a,VCF0888,4685
2024,VCF9223,VCF0888,4704
2024,VCF0806,VCF0890,4763
2024,VCF0809,VCF0890,4729
2024,VCF0838,VCF0890,5007
2024,VCF0839,VCF0890,4559
2024,VCF0888,VCF0890,5235
2024,VCF0890,VCF0890,5250
2024,VCF0894,VCF0890,5212
2024,VCF0879a,VCF0890,4685
2024,VCF9223,VCF0890,4705
2024,VCF0806,VCF0894,4738
2024,VCF0809,VCF0894,4711
2024,VCF0838,VCF0894,4986
2024,VCF0839,VCF0894,4544
2024,VCF0888,VCF0894,5209
2024,VCF0890,VCF0894,5212
2024,VCF0894,VCF0894,5223
2024,VCF0879a,VCF0894,4669
2024,VCF9223,VCF0894,4686
2024,VCF0806,VCF0879a,4287
2024,VCF0809,VCF0879a,4257
2024,VCF0838,VCF0879a,4485
