"Election_year","Rows","Nodes","Complete","All_nodes_ordered","Warning_n","Dimension_ok","Node_order_ok","All_values_finite","Maximum_asymmetry","Maximum_diagonal_deviation","Minimum_off_diagonal","Maximum_off_diagonal","Minimum_eigenvalue","Maximum_eigenvalue","Condition_number","Positive_definite"
2004,789,9,TRUE,TRUE,0,TRUE,TRUE,TRUE,0,0,-0.181884442890681,0.540224206296403,0.383453922991212,2.79353882471049,7.28520079523221,TRUE
2012,4353,9,TRUE,TRUE,0,TRUE,TRUE,TRUE,0,0,-0.164054773901883,0.598824822133838,0.365161335294838,3.32106023072234,9.09477513012392,TRUE
2016,2709,9,TRUE,TRUE,0,TRUE,TRUE,TRUE,0,0,-0.218881850143435,0.640186326950106,0.325607957106185,3.86279882920884,11.8633428480654,TRUE
2020,5390,9,TRUE,TRUE,0,TRUE,TRUE,TRUE,0,0,-0.430481227454185,0.687466281027691,0.29649019808203,4.72463045908308,15.9351995096172,TRUE
2024,3525,9,TRUE,TRUE,0,TRUE,TRUE,TRUE,0,0,-0.32195011633074,0.655385115216373,0.316082505960408,4.42282126401951,13.9926164233003,TRUE
