"Election_year","Cleaned_n","Excluded_missing_nine_node_n","Analysis_ready_n","Education_missing_n"
2004,1212,423,789,0
2012,5914,1561,4353,49
2016,4270,1561,2709,15
2020,8280,2890,5390,75
2024,5521,1996,3525,15
