"Year","Education_group","N","Retained_edges","Median_95_percentile_interval_width"
2012,"No college degree",2773,28,0.0892931584623856
2012,"College or advanced degree",1531,28,0.123006414510961
2016,"No college degree",1478,28,0.121985177886749
2016,"College or advanced degree",1216,31,0.140510628073791
2020,"No college degree",2624,30,0.0925944610928195
2020,"College or advanced degree",2691,33,0.102675758194747
2024,"No college degree",1729,34,0.119885809516029
2024,"College or advanced degree",1781,32,0.124850390191408
