"Year","N","Complete_case_retention_percent","Retained_edges","Global_strength","Median_95_percentile_interval_width"
2004,789,65.0990099009901,25,3.27385693104573,0.150794918948854
2012,4353,73.6050050727088,32,3.9598312246387,0.0761430966646137
2016,2709,63.4426229508197,32,4.07371785353382,0.0982283939204443
2020,5390,65.0966183574879,32,4.2104926353547,0.0711947360994905
2024,3525,63.8471291432711,33,4.09677422904485,0.0893689077335492
